,event_month,total_searches,searches_converted_to_views,searches_converted_to_reservations
0,2023-01-01 00:00:00.000000,256,126,29
1,2023-01-02 00:00:00.000000,225,112,28
2,2023-01-03 00:00:00.000000,230,120,26
3,2023-01-04 00:00:00.000000,253,130,30
4,2023-01-05 00:00:00.000000,250,119,23
5,2023-01-06 00:00:00.000000,231,104,31
6,2023-01-07 00:00:00.000000,217,115,28
7,2023-01-08 00:00:00.000000,236,117,31
8,2023-01-09 00:00:00.000000,221,112,15
9,2023-01-10 00:00:00.000000,250,130,20
10,2023-01-11 00:00:00.000000,228,108,19
11,2023-01-12 00:00:00.000000,245,127,34
12,2023-01-13 00:00:00.000000,229,106,19
13,2023-01-14 00:00:00.000000,239,117,22
14,2023-01-15 00:00:00.000000,213,100,18
15,2023-01-16 00:00:00.000000,246,119,25
16,2023-01-17 00:00:00.000000,229,119,31
17,2023-01-18 00:00:00.000000,228,120,23
18,2023-01-19 00:00:00.000000,220,102,24
19,2023-01-20 00:00:00.000000,238,106,22
20,2023-01-21 00:00:00.000000,243,119,26
21,2023-01-22 00:00:00.000000,206,93,21
22,2023-01-23 00:00:00.000000,239,126,33
23,2023-01-24 00:00:00.000000,228,114,13
24,2023-01-25 00:00:00.000000,208,103,22
25,2023-01-26 00:00:00.000000,243,122,31
26,2023-01-27 00:00:00.000000,234,111,21
27,2023-01-28 00:00:00.000000,236,120,32
28,2023-01-29 00:00:00.000000,239,122,28
29,2023-01-30 00:00:00.000000,218,112,23
30,2023-01-31 00:00:00.000000,256,139,34
31,2023-02-01 00:00:00.000000,233,104,23
32,2023-02-02 00:00:00.000000,245,114,33
33,2023-02-03 00:00:00.000000,226,109,23
34,2023-02-04 00:00:00.000000,237,118,31
35,2023-02-05 00:00:00.000000,237,123,34
36,2023-02-06 00:00:00.000000,217,104,23
37,2023-02-07 00:00:00.000000,223,116,33
38,2023-02-08 00:00:00.000000,260,136,34
39,2023-02-09 00:00:00.000000,253,124,27
40,2023-02-10 00:00:00.000000,221,111,19
41,2023-02-11 00:00:00.000000,200,94,13
42,2023-02-12 00:00:00.000000,239,124,18
43,2023-02-13 00:00:00.000000,229,124,33
44,2023-02-14 00:00:00.000000,260,125,24
45,2023-02-15 00:00:00.000000,250,115,27
46,2023-02-16 00:00:00.000000,249,128,29
47,2023-02-17 00:00:00.000000,240,110,22
48,2023-02-18 00:00:00.000000,243,126,27
49,2023-02-19 00:00:00.000000,228,112,20
50,2023-02-20 00:00:00.000000,248,126,29
51,2023-02-21 00:00:00.000000,251,120,26
52,2023-02-22 00:00:00.000000,233,111,27
53,2023-02-23 00:00:00.000000,251,124,30
54,2023-02-24 00:00:00.000000,265,133,32
55,2023-02-25 00:00:00.000000,218,116,24
56,2023-02-26 00:00:00.000000,228,113,25
57,2023-02-27 00:00:00.000000,218,110,27
58,2023-02-28 00:00:00.000000,208,105,31
59,2023-03-01 00:00:00.000000,224,109,23
60,2023-03-02 00:00:00.000000,223,111,31
61,2023-03-03 00:00:00.000000,244,129,24
62,2023-03-04 00:00:00.000000,230,118,19
63,2023-03-05 00:00:00.000000,198,104,21
64,2023-03-06 00:00:00.000000,188,97,21
65,2023-03-07 00:00:00.000000,242,122,26
66,2023-03-08 00:00:00.000000,241,112,35
67,2023-03-09 00:00:00.000000,234,122,24
68,2023-03-10 00:00:00.000000,250,126,29
69,2023-03-11 00:00:00.000000,236,102,18
70,2023-03-12 00:00:00.000000,264,140,27
71,2023-03-13 00:00:00.000000,247,124,29
72,2023-03-14 00:00:00.000000,241,129,29
73,2023-03-15 00:00:00.000000,232,111,20
74,2023-03-16 00:00:00.000000,245,128,30
75,2023-03-17 00:00:00.000000,211,111,26
76,2023-03-18 00:00:00.000000,217,118,21
77,2023-03-19 00:00:00.000000,228,112,20
78,2023-03-20 00:00:00.000000,237,112,19
79,2023-03-21 00:00:00.000000,223,122,26
80,2023-03-22 00:00:00.000000,221,114,23
81,2023-03-23 00:00:00.000000,227,117,22
82,2023-03-24 00:00:00.000000,211,111,11
83,2023-03-25 00:00:00.000000,251,122,30
84,2023-03-26 00:00:00.000000,210,100,17
85,2023-03-27 00:00:00.000000,219,113,16
86,2023-03-28 00:00:00.000000,221,111,22
87,2023-03-29 00:00:00.000000,230,112,26
88,2023-03-30 00:00:00.000000,241,125,29
89,2023-03-31 00:00:00.000000,238,110,23
90,2023-04-01 00:00:00.000000,227,103,14
91,2023-04-02 00:00:00.000000,250,116,32
92,2023-04-03 00:00:00.000000,244,130,25
93,2023-04-04 00:00:00.000000,204,101,22
94,2023-04-05 00:00:00.000000,267,141,28
95,2023-04-06 00:00:00.000000,229,127,33
96,2023-04-07 00:00:00.000000,260,122,27
97,2023-04-08 00:00:00.000000,236,118,27
98,2023-04-09 00:00:00.000000,227,113,28
99,2023-04-10 00:00:00.000000,241,108,20
100,2023-04-11 00:00:00.000000,230,107,16
101,2023-04-12 00:00:00.000000,235,129,28
102,2023-04-13 00:00:00.000000,229,123,32
103,2023-04-14 00:00:00.000000,242,133,32
104,2023-04-15 00:00:00.000000,231,118,17
105,2023-04-16 00:00:00.000000,247,136,30
106,2023-04-17 00:00:00.000000,245,119,26
107,2023-04-18 00:00:00.000000,244,121,24
108,2023-04-19 00:00:00.000000,244,128,22
109,2023-04-20 00:00:00.000000,244,114,21
110,2023-04-21 00:00:00.000000,219,108,19
111,2023-04-22 00:00:00.000000,262,135,31
112,2023-04-23 00:00:00.000000,215,101,16
113,2023-04-24 00:00:00.000000,249,140,22
114,2023-04-25 00:00:00.000000,227,107,24
115,2023-04-26 00:00:00.000000,258,129,36
116,2023-04-27 00:00:00.000000,252,123,28
117,2023-04-28 00:00:00.000000,242,122,23
118,2023-04-29 00:00:00.000000,263,125,24
119,2023-04-30 00:00:00.000000,247,125,29
120,2023-05-01 00:00:00.000000,228,119,28
121,2023-05-02 00:00:00.000000,258,127,23
122,2023-05-03 00:00:00.000000,205,94,23
123,2023-05-04 00:00:00.000000,214,115,25
124,2023-05-05 00:00:00.000000,209,107,23
125,2023-05-06 00:00:00.000000,220,104,22
126,2023-05-07 00:00:00.000000,236,120,25
127,2023-05-08 00:00:00.000000,234,118,24
128,2023-05-09 00:00:00.000000,246,118,35
129,2023-05-10 00:00:00.000000,233,114,23
130,2023-05-11 00:00:00.000000,227,116,25
131,2023-05-12 00:00:00.000000,226,125,22
132,2023-05-13 00:00:00.000000,239,126,25
133,2023-05-14 00:00:00.000000,221,107,34
134,2023-05-15 00:00:00.000000,243,126,20
135,2023-05-16 00:00:00.000000,196,96,19
136,2023-05-17 00:00:00.000000,206,99,18
137,2023-05-18 00:00:00.000000,225,106,26
138,2023-05-19 00:00:00.000000,251,140,36
139,2023-05-20 00:00:00.000000,237,136,29
140,2023-05-21 00:00:00.000000,232,119,27
141,2023-05-22 00:00:00.000000,267,130,22
142,2023-05-23 00:00:00.000000,230,109,30
143,2023-05-24 00:00:00.000000,239,120,28
144,2023-05-25 00:00:00.000000,245,131,22
145,2023-05-26 00:00:00.000000,255,130,31
146,2023-05-27 00:00:00.000000,242,117,22
147,2023-05-28 00:00:00.000000,256,130,23
148,2023-05-29 00:00:00.000000,255,126,27
149,2023-05-30 00:00:00.000000,245,117,23
150,2023-05-31 00:00:00.000000,243,113,33
151,2023-06-01 00:00:00.000000,243,122,27
152,2023-06-02 00:00:00.000000,244,126,32
153,2023-06-03 00:00:00.000000,237,125,30
154,2023-06-04 00:00:00.000000,254,133,30
155,2023-06-05 00:00:00.000000,232,121,29
156,2023-06-06 00:00:00.000000,250,127,28
157,2023-06-07 00:00:00.000000,243,127,24
158,2023-06-08 00:00:00.000000,258,123,27
159,2023-06-09 00:00:00.000000,259,130,26
160,2023-06-10 00:00:00.000000,245,119,18
161,2023-06-11 00:00:00.000000,220,106,15
162,2023-06-12 00:00:00.000000,219,110,26
163,2023-06-13 00:00:00.000000,249,127,30
164,2023-06-14 00:00:00.000000,265,133,35
165,2023-06-15 00:00:00.000000,246,110,22
166,2023-06-16 00:00:00.000000,214,106,25
167,2023-06-17 00:00:00.000000,237,126,24
168,2023-06-18 00:00:00.000000,234,125,27
169,2023-06-19 00:00:00.000000,241,112,14
170,2023-06-20 00:00:00.000000,236,105,21
171,2023-06-21 00:00:00.000000,234,117,32
172,2023-06-22 00:00:00.000000,220,114,26
173,2023-06-23 00:00:00.000000,223,118,25
174,2023-06-24 00:00:00.000000,233,110,23
175,2023-06-25 00:00:00.000000,215,108,22
176,2023-06-26 00:00:00.000000,250,125,28
177,2023-06-27 00:00:00.000000,256,123,19
178,2023-06-28 00:00:00.000000,219,114,25
179,2023-06-29 00:00:00.000000,247,139,34
180,2023-06-30 00:00:00.000000,253,133,28
181,2023-07-01 00:00:00.000000,246,136,26
182,2023-07-02 00:00:00.000000,238,109,25
183,2023-07-03 00:00:00.000000,255,138,28
184,2023-07-04 00:00:00.000000,238,128,25
185,2023-07-05 00:00:00.000000,218,107,26
186,2023-07-06 00:00:00.000000,241,126,27
187,2023-07-07 00:00:00.000000,241,116,23
188,2023-07-08 00:00:00.000000,243,123,21
189,2023-07-09 00:00:00.000000,221,107,27
190,2023-07-10 00:00:00.000000,216,111,17
191,2023-07-11 00:00:00.000000,227,123,25
192,2023-07-12 00:00:00.000000,221,101,22
193,2023-07-13 00:00:00.000000,227,116,29
194,2023-07-14 00:00:00.000000,237,114,20
195,2023-07-15 00:00:00.000000,217,113,20
196,2023-07-16 00:00:00.000000,256,131,31
197,2023-07-17 00:00:00.000000,247,131,32
198,2023-07-18 00:00:00.000000,241,117,23
199,2023-07-19 00:00:00.000000,216,112,21
200,2023-07-20 00:00:00.000000,221,116,26
201,2023-07-21 00:00:00.000000,228,114,23
202,2023-07-22 00:00:00.000000,272,134,37
203,2023-07-23 00:00:00.000000,238,118,32
204,2023-07-24 00:00:00.000000,234,103,27
205,2023-07-25 00:00:00.000000,262,136,33
206,2023-07-26 00:00:00.000000,252,138,37
207,2023-07-27 00:00:00.000000,234,132,27
208,2023-07-28 00:00:00.000000,228,119,27
209,2023-07-29 00:00:00.000000,247,124,26
210,2023-07-30 00:00:00.000000,249,120,28
211,2023-07-31 00:00:00.000000,268,130,32
